Player Name,RAPM,RAPM Rank,ORAPM,ORAPM Rank,DRAPM,DRAPM Rank,Year
Charli Collier,-3.0,146,-0.71,106,-2.28,150,2021
Shekinna Stricklen,-3.1,147,-2.61,151,-0.49,105,2021
Kia Vaughn,-3.12,148,0.04,64,-3.17,153,2021
Lindsay Allen,-3.41,149,-0.12,73,-3.3,154,2021
Sydney Wiese,-3.65,150,-0.33,85,-3.32,155,2021
Odyssey Sims,-3.77,151,-1.84,143,-1.93,146,2021
Jessica Breland,-3.8,152,-2.58,150,-1.22,129,2021
Jantel Lavender,-3.84,153,-1.87,145,-1.97,147,2021
Victoria Vivians,-4.48,154,-1.69,140,-2.79,152,2021
Rebecca Allen,-4.57,155,-3.23,154,-1.34,138,2021
